Sequence_ID	biosample_accession
ASV181	SAMN30974272,SAMN30974271,SAMN30974270
ASV188	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974307
ASV190	SAMN30974253,SAMN30974251,SAMN30974272,SAMN30974290,SAMN30974271,SAMN30974291
ASV192	SAMN30974251,SAMN30974291,SAMN30974305
ASV2	SAMN30974252,SAMN30974272,SAMN30974251,SAMN30974290,SAMN30974270,SAMN30974254,SAMN30974271,SAMN30974253,SAMN30974291,SAMN30974273,SAMN30974305,SAMN30974306,SAMN30974274,SAMN30974255,SAMN30974307,SAMN30974292
ASV20	SAMN30974252,SAMN30974290,SAMN30974251,SAMN30974253,SAMN30974271,SAMN30974272,SAMN30974306,SAMN30974270,SAMN30974305,SAMN30974254,SAMN30974307,SAMN30974291,SAMN30974292,SAMN30974274
ASV203	SAMN30974254,SAMN30974291,SAMN30974253,SAMN30974306,SAMN30974307,SAMN30974274,SAMN30974292,SAMN30974271
ASV209	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974271,SAMN30974272,SAMN30974270
ASV219	SAMN30974272,SAMN30974252,SAMN30974291,SAMN30974306
ASV223	SAMN30974255,SAMN30974251,SAMN30974253
ASV23	SAMN30974255,SAMN30974306,SAMN30974252,SAMN30974254,SAMN30974251,SAMN30974253,SAMN30974271,SAMN30974272,SAMN30974307,SAMN30974270,SAMN30974292,SAMN30974291,SAMN30974290,SAMN30974273,SAMN30974274,SAMN30974305
ASV234	SAMN30974255,SAMN30974254,SAMN30974273,SAMN30974292
ASV240	SAMN30974307,SAMN30974274,SAMN30974305
ASV245	SAMN30974253,SAMN30974251,SAMN30974254,SAMN30974292,SAMN30974291
ASV248	SAMN30974307,SAMN30974290,SAMN30974305
ASV25	SAMN30974254,SAMN30974255,SAMN30974252,SAMN30974253,SAMN30974273,SAMN30974291,SAMN30974251,SAMN30974292,SAMN30974274,SAMN30974307,SAMN30974272,SAMN30974271,SAMN30974306,SAMN30974290,SAMN30974270,SAMN30974305
ASV251	SAMN30974292,SAMN30974307,SAMN30974305
ASV256	SAMN30974254,SAMN30974306,SAMN30974291
ASV26	SAMN30974253,SAMN30974252,SAMN30974255,SAMN30974271,SAMN30974251,SAMN30974254,SAMN30974290,SAMN30974272,SAMN30974291,SAMN30974274,SAMN30974270,SAMN30974292,SAMN30974273,SAMN30974307,SAMN30974306,SAMN30974305
ASV27	SAMN30974255,SAMN30974254,SAMN30974292,SAMN30974274,SAMN30974273,SAMN30974307,SAMN30974306,SAMN30974291,SAMN30974252
ASV28	SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974255,SAMN30974290,SAMN30974273,SAMN30974292,SAMN30974271,SAMN30974270,SAMN30974272,SAMN30974305,SAMN30974291,SAMN30974306,SAMN30974274,SAMN30974307
ASV29	SAMN30974307,SAMN30974291,SAMN30974254,SAMN30974255,SAMN30974306,SAMN30974292,SAMN30974273,SAMN30974274
ASV291	SAMN30974252,SAMN30974290,SAMN30974306,SAMN30974307
ASV3	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974254,SAMN30974290,SAMN30974255,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974291,SAMN30974305,SAMN30974306,SAMN30974307,SAMN30974273,SAMN30974274,SAMN30974292
ASV306	SAMN30974273,SAMN30974291,SAMN30974290
ASV31	SAMN30974254,SAMN30974255,SAMN30974274,SAMN30974307,SAMN30974292,SAMN30974252,SAMN30974273,SAMN30974291,SAMN30974251,SAMN30974253,SAMN30974306,SAMN30974272,SAMN30974270,SAMN30974290,SAMN30974305
ASV311	SAMN30974255,SAMN30974306,SAMN30974274,SAMN30974272,SAMN30974307
ASV32	SAMN30974254,SAMN30974274,SAMN30974307,SAMN30974255,SAMN30974273,SAMN30974306,SAMN30974292,SAMN30974291,SAMN30974252,SAMN30974251,SAMN30974271,SAMN30974290,SAMN30974270,SAMN30974305
ASV33	SAMN30974255,SAMN30974254,SAMN30974307,SAMN30974291,SAMN30974274,SAMN30974292,SAMN30974273,SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974290,SAMN30974306,SAMN30974305,SAMN30974272,SAMN30974271
ASV331	SAMN30974255,SAMN30974290,SAMN30974306
ASV35	SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974255,SAMN30974273,SAMN30974306,SAMN30974307,SAMN30974291,SAMN30974290,SAMN30974292,SAMN30974272,SAMN30974305,SAMN30974271,SAMN30974270,SAMN30974274
ASV36	SAMN30974290,SAMN30974255,SAMN30974307
ASV37	SAMN30974307,SAMN30974255,SAMN30974254,SAMN30974306,SAMN30974305,SAMN30974270,SAMN30974291,SAMN30974272,SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974292,SAMN30974273,SAMN30974271
ASV38	SAMN30974254,SAMN30974255,SAMN30974291,SAMN30974252,SAMN30974274,SAMN30974253,SAMN30974273,SAMN30974272,SAMN30974306,SAMN30974290,SAMN30974307,SAMN30974251,SAMN30974270,SAMN30974271,SAMN30974292,SAMN30974305
ASV40	SAMN30974255,SAMN30974254,SAMN30974307,SAMN30974274,SAMN30974252,SAMN30974253,SAMN30974290,SAMN30974251,SAMN30974306,SAMN30974305,SAMN30974292,SAMN30974291
ASV41	SAMN30974290,SAMN30974254,SAMN30974292,SAMN30974253,SAMN30974252,SAMN30974255,SAMN30974251,SAMN30974306,SAMN30974291,SAMN30974271,SAMN30974305,SAMN30974307,SAMN30974273,SAMN30974274,SAMN30974272
ASV42	SAMN30974252,SAMN30974271,SAMN30974253,SAMN30974251,SAMN30974290,SAMN30974255,SAMN30974272,SAMN30974254,SAMN30974291,SAMN30974270,SAMN30974274,SAMN30974292,SAMN30974273,SAMN30974306,SAMN30974307,SAMN30974305
ASV45	SAMN30974255,SAMN30974290,SAMN30974254,SAMN30974273,SAMN30974252,SAMN30974307,SAMN30974292,SAMN30974274,SAMN30974291,SAMN30974253,SAMN30974306,SAMN30974305,SAMN30974271
ASV46	SAMN30974255,SAMN30974252,SAMN30974253,SAMN30974254,SAMN30974251,SAMN30974273,SAMN30974292,SAMN30974274,SAMN30974306,SAMN30974307,SAMN30974291,SAMN30974270,SAMN30974290,SAMN30974272,SAMN30974271,SAMN30974305
ASV47	SAMN30974251,SAMN30974252,SAMN30974253,SAMN30974254,SAMN30974255,SAMN30974272,SAMN30974271,SAMN30974307,SAMN30974270,SAMN30974291,SAMN30974273,SAMN30974274,SAMN30974305,SAMN30974290,SAMN30974306,SAMN30974292
ASV48	SAMN30974255,SAMN30974254,SAMN30974307,SAMN30974274,SAMN30974273,SAMN30974292,SAMN30974291
ASV49	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974254,SAMN30974290,SAMN30974291,SAMN30974255,SAMN30974273,SAMN30974271,SAMN30974272,SAMN30974307,SAMN30974292,SAMN30974306,SAMN30974270,SAMN30974305,SAMN30974274
ASV5	SAMN30974253,SAMN30974254,SAMN30974255,SAMN30974252,SAMN30974251,SAMN30974273,SAMN30974274,SAMN30974271,SAMN30974272,SAMN30974307,SAMN30974270,SAMN30974290,SAMN30974306,SAMN30974291,SAMN30974292,SAMN30974305
ASV50	SAMN30974255,SAMN30974254,SAMN30974252,SAMN30974273,SAMN30974251,SAMN30974306,SAMN30974292,SAMN30974307,SAMN30974272,SAMN30974274,SAMN30974305,SAMN30974253,SAMN30974271,SAMN30974270,SAMN30974290
ASV51	SAMN30974255,SAMN30974292,SAMN30974274,SAMN30974291,SAMN30974306,SAMN30974254,SAMN30974273,SAMN30974307,SAMN30974272,SAMN30974271
