Sequence_ID	biosample_accession
ASV1033	SAMN30974255,SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974274,SAMN30974253,SAMN30974273,SAMN30974292,SAMN30974271
ASV1034	SAMN30974307,SAMN30974253,SAMN30974272,SAMN30974271,SAMN30974251,SAMN30974270,SAMN30974252,SAMN30974255,SAMN30974274,SAMN30974292,SAMN30974305,SAMN30974273,SAMN30974290,SAMN30974291,SAMN30974306
ASV1036	SAMN30974252,SAMN30974253,SAMN30974272,SAMN30974255,SAMN30974251,SAMN30974306,SAMN30974273,SAMN30974270,SAMN30974291,SAMN30974271,SAMN30974307,SAMN30974292,SAMN30974305,SAMN30974290
ASV1037	SAMN30974307,SAMN30974306,SAMN30974291,SAMN30974292,SAMN30974254,SAMN30974272,SAMN30974270,SAMN30974271,SAMN30974274,SAMN30974251,SAMN30974273,SAMN30974252,SAMN30974305
ASV1038	SAMN30974255,SAMN30974253,SAMN30974252,SAMN30974254,SAMN30974251
ASV1039	SAMN30974255,SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974254,SAMN30974274,SAMN30974273,SAMN30974307,SAMN30974270,SAMN30974271,SAMN30974292,SAMN30974272,SAMN30974291,SAMN30974290
ASV104	SAMN30974254,SAMN30974273,SAMN30974255,SAMN30974307,SAMN30974274,SAMN30974306,SAMN30974292,SAMN30974291,SAMN30974271,SAMN30974252,SAMN30974270,SAMN30974305
ASV1040	SAMN30974253,SAMN30974254,SAMN30974270,SAMN30974305,SAMN30974272,SAMN30974252,SAMN30974271,SAMN30974251,SAMN30974306,SAMN30974273,SAMN30974291,SAMN30974292,SAMN30974290,SAMN30974255
ASV1042	SAMN30974255,SAMN30974254,SAMN30974251,SAMN30974274,SAMN30974252,SAMN30974273,SAMN30974307,SAMN30974292,SAMN30974272,SAMN30974306,SAMN30974271
ASV1044	SAMN30974272,SAMN30974270,SAMN30974271,SAMN30974252,SAMN30974306,SAMN30974253,SAMN30974251,SAMN30974273,SAMN30974305,SAMN30974290,SAMN30974292
ASV1045	SAMN30974253,SAMN30974252,SAMN30974272,SAMN30974270,SAMN30974251,SAMN30974305,SAMN30974273,SAMN30974271,SAMN30974254,SAMN30974306,SAMN30974290
ASV1048	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974272,SAMN30974273,SAMN30974271,SAMN30974306,SAMN30974270,SAMN30974254
ASV105	SAMN30974273,SAMN30974253,SAMN30974252,SAMN30974271,SAMN30974270,SAMN30974274,SAMN30974291,SAMN30974306,SAMN30974272,SAMN30974292,SAMN30974290,SAMN30974305
ASV1050	SAMN30974252,SAMN30974255,SAMN30974253,SAMN30974272,SAMN30974254,SAMN30974273,SAMN30974270,SAMN30974292,SAMN30974251,SAMN30974274,SAMN30974307,SAMN30974271,SAMN30974306,SAMN30974290,SAMN30974291,SAMN30974305
ASV1051	SAMN30974307,SAMN30974255,SAMN30974274,SAMN30974254,SAMN30974292,SAMN30974273,SAMN30974306,SAMN30974291
ASV1054	SAMN30974251,SAMN30974252,SAMN30974306,SAMN30974273,SAMN30974254,SAMN30974253,SAMN30974270,SAMN30974255,SAMN30974291,SAMN30974272,SAMN30974305,SAMN30974290,SAMN30974307,SAMN30974271,SAMN30974292
ASV1055	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974251,SAMN30974306,SAMN30974273
ASV1056	SAMN30974307,SAMN30974305,SAMN30974306,SAMN30974291,SAMN30974272,SAMN30974271,SAMN30974273,SAMN30974254,SAMN30974270,SAMN30974292,SAMN30974290,SAMN30974251
ASV1057	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974253,SAMN30974252,SAMN30974307,SAMN30974272,SAMN30974291,SAMN30974292,SAMN30974271,SAMN30974251,SAMN30974306
ASV1058	SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974271,SAMN30974254,SAMN30974270,SAMN30974272,SAMN30974306,SAMN30974255,SAMN30974273,SAMN30974274,SAMN30974291,SAMN30974305,SAMN30974290
ASV1059	SAMN30974273,SAMN30974254,SAMN30974306,SAMN30974253,SAMN30974291,SAMN30974255,SAMN30974252,SAMN30974251,SAMN30974292,SAMN30974274,SAMN30974307,SAMN30974305,SAMN30974290,SAMN30974270,SAMN30974271
ASV106	SAMN30974251,SAMN30974270,SAMN30974273,SAMN30974253,SAMN30974254,SAMN30974272,SAMN30974307,SAMN30974291,SAMN30974306,SAMN30974292,SAMN30974290,SAMN30974274,SAMN30974305,SAMN30974271
ASV1060	SAMN30974274,SAMN30974273,SAMN30974254,SAMN30974292,SAMN30974252,SAMN30974255,SAMN30974253,SAMN30974251,SAMN30974307,SAMN30974291,SAMN30974305,SAMN30974270,SAMN30974290
ASV1061	SAMN30974251,SAMN30974252,SAMN30974253,SAMN30974254,SAMN30974255,SAMN30974271,SAMN30974270,SAMN30974306,SAMN30974274
ASV1062	SAMN30974255,SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974274,SAMN30974307,SAMN30974273,SAMN30974292,SAMN30974291,SAMN30974272,SAMN30974271
ASV1064	SAMN30974307,SAMN30974292,SAMN30974254,SAMN30974291,SAMN30974272,SAMN30974270,SAMN30974306,SAMN30974271,SAMN30974255,SAMN30974274,SAMN30974253,SAMN30974290,SAMN30974252,SAMN30974251,SAMN30974273,SAMN30974305
ASV1066	SAMN30974253,SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974291,SAMN30974273,SAMN30974251,SAMN30974270,SAMN30974272,SAMN30974292,SAMN30974271,SAMN30974290,SAMN30974306,SAMN30974305
ASV1068	SAMN30974292,SAMN30974307,SAMN30974274,SAMN30974255,SAMN30974306,SAMN30974253,SAMN30974291,SAMN30974273,SAMN30974271,SAMN30974254,SAMN30974251,SAMN30974272,SAMN30974305
ASV1069	SAMN30974254,SAMN30974307,SAMN30974253,SAMN30974292,SAMN30974306,SAMN30974273,SAMN30974252,SAMN30974251,SAMN30974291,SAMN30974274,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974255,SAMN30974305
ASV107	SAMN30974273,SAMN30974291,SAMN30974292,SAMN30974255,SAMN30974253,SAMN30974254,SAMN30974290,SAMN30974305,SAMN30974272,SAMN30974306,SAMN30974252,SAMN30974270,SAMN30974251,SAMN30974274,SAMN30974271
ASV1070	SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974271,SAMN30974270,SAMN30974272,SAMN30974255,SAMN30974290,SAMN30974305,SAMN30974274,SAMN30974254,SAMN30974306
ASV1071	SAMN30974253,SAMN30974251,SAMN30974270,SAMN30974252,SAMN30974272,SAMN30974271,SAMN30974290,SAMN30974305,SAMN30974255,SAMN30974254
ASV1072	SAMN30974252,SAMN30974306,SAMN30974251,SAMN30974307,SAMN30974253,SAMN30974273,SAMN30974271,SAMN30974272,SAMN30974305,SAMN30974254,SAMN30974291,SAMN30974255,SAMN30974292,SAMN30974290,SAMN30974270,SAMN30974274
ASV1073	SAMN30974305,SAMN30974253,SAMN30974271,SAMN30974270,SAMN30974272,SAMN30974290,SAMN30974251,SAMN30974306
ASV1076	SAMN30974255,SAMN30974254,SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974273,SAMN30974274,SAMN30974292,SAMN30974307,SAMN30974272,SAMN30974271
ASV1077	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974273,SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974307,SAMN30974271
ASV1078	SAMN30974306,SAMN30974270,SAMN30974291,SAMN30974272,SAMN30974271,SAMN30974292,SAMN30974253,SAMN30974273,SAMN30974305,SAMN30974290,SAMN30974252,SAMN30974251,SAMN30974254
ASV1079	SAMN30974254,SAMN30974255,SAMN30974274,SAMN30974273,SAMN30974253,SAMN30974307
