Sequence_ID	biosample_accession
ASV1534	SAMN30974253
ASV1536	SAMN30974292
ASV1537	SAMN30974253
ASV1538	SAMN30974252
ASV1539	SAMN30974252
ASV154	SAMN30974254
ASV1543	SAMN30974255
ASV1546	SAMN30974292
ASV1547	SAMN30974253
ASV1548	SAMN30974252
ASV155	SAMN30974253
ASV1550	SAMN30974255
ASV1554	SAMN30974255
ASV1556	SAMN30974305
ASV1558	SAMN30974255
ASV156	SAMN30974255
ASV1560	SAMN30974273
ASV1561	SAMN30974253
ASV1562	SAMN30974253
ASV1563	SAMN30974307
ASV1564	SAMN30974253
ASV1566	SAMN30974255
ASV1567	SAMN30974272
ASV1569	SAMN30974306
ASV157	SAMN30974255
ASV1570	SAMN30974306
ASV1571	SAMN30974306
ASV1572	SAMN30974307
ASV1573	SAMN30974253
ASV1574	SAMN30974253
ASV1577	SAMN30974255
ASV1578	SAMN30974305
ASV158	SAMN30974252
ASV1580	SAMN30974307
ASV1582	SAMN30974253
ASV1584	SAMN30974252
ASV1588	SAMN30974273
ASV159	SAMN30974306
ASV1592	SAMN30974253
ASV1595	SAMN30974253
ASV1596	SAMN30974255
ASV1598	SAMN30974307
ASV1599	SAMN30974255
ASV16	SAMN30974255
ASV160	SAMN30974254
ASV1600	SAMN30974305
ASV1602	SAMN30974251
ASV1603	SAMN30974253
ASV1604	SAMN30974272
ASV1607	SAMN30974271
ASV161	SAMN30974307
ASV1610	SAMN30974307
ASV1611	SAMN30974307
ASV1612	SAMN30974307
ASV1613	SAMN30974255
ASV1615	SAMN30974270
ASV1616	SAMN30974306
ASV1617	SAMN30974253
ASV1618	SAMN30974252
ASV1620	SAMN30974273
ASV1621	SAMN30974274
ASV1622	SAMN30974251
ASV1623	SAMN30974254
ASV1624	SAMN30974272
ASV1625	SAMN30974270
ASV1626	SAMN30974255
ASV1627	SAMN30974253
ASV1628	SAMN30974253
ASV1629	SAMN30974254
ASV1630	SAMN30974253
ASV1631	SAMN30974253
ASV1632	SAMN30974271
ASV1633	SAMN30974254
ASV1635	SAMN30974306
ASV1637	SAMN30974271
ASV1638	SAMN30974251
ASV164	SAMN30974307
ASV1640	SAMN30974253
ASV1641	SAMN30974254
ASV1642	SAMN30974253
ASV1643	SAMN30974307
ASV1644	SAMN30974254
ASV1647	SAMN30974270
ASV1648	SAMN30974291
ASV1649	SAMN30974292
ASV165	SAMN30974255
ASV1651	SAMN30974251
ASV1652	SAMN30974252
ASV1653	SAMN30974252
ASV1654	SAMN30974254
ASV1655	SAMN30974307
ASV1656	SAMN30974255
ASV166	SAMN30974292
ASV1660	SAMN30974305
ASV1662	SAMN30974253
ASV1663	SAMN30974255
ASV1665	SAMN30974272
ASV1666	SAMN30974274
ASV1667	SAMN30974274
ASV1668	SAMN30974274
ASV1669	SAMN30974307
ASV167	SAMN30974307
ASV1670	SAMN30974291
ASV1671	SAMN30974306
ASV1672	SAMN30974253
ASV1674	SAMN30974251
ASV1675	SAMN30974253
ASV1677	SAMN30974270
ASV1678	SAMN30974254
ASV1679	SAMN30974254
ASV168	SAMN30974252
ASV1681	SAMN30974255
ASV1682	SAMN30974291
ASV1683	SAMN30974307
ASV1685	SAMN30974254
ASV1686	SAMN30974254
ASV1687	SAMN30974273
ASV1688	SAMN30974292
ASV169	SAMN30974292
ASV1690	SAMN30974305
ASV1691	SAMN30974305
ASV1692	SAMN30974252
ASV1694	SAMN30974307
ASV1697	SAMN30974255
ASV1698	SAMN30974307
ASV17	SAMN30974273
ASV170	SAMN30974252
ASV1700	SAMN30974272
ASV1703	SAMN30974255
ASV1705	SAMN30974251
ASV1706	SAMN30974251
ASV1707	SAMN30974273
ASV1708	SAMN30974254
ASV1709	SAMN30974255
ASV171	SAMN30974253
ASV1713	SAMN30974251
ASV172	SAMN30974254
ASV1721	SAMN30974306
ASV1725	SAMN30974252
ASV1726	SAMN30974253
ASV1728	SAMN30974255
ASV173	SAMN30974251
ASV1730	SAMN30974254
ASV1738	SAMN30974305
ASV174	SAMN30974253
ASV1740	SAMN30974253
ASV1742	SAMN30974252
ASV1746	SAMN30974273
ASV1748	SAMN30974292
ASV175	SAMN30974251
ASV1750	SAMN30974272
ASV1753	SAMN30974253
ASV1759	SAMN30974307
ASV176	SAMN30974274
ASV1760	SAMN30974253
ASV1769	SAMN30974272
ASV177	SAMN30974273
ASV1775	SAMN30974255
ASV1776	SAMN30974255
ASV1779	SAMN30974305
ASV178	SAMN30974272
ASV1785	SAMN30974255
ASV179	SAMN30974274
ASV1792	SAMN30974306
ASV1796	SAMN30974253
ASV18	SAMN30974255
ASV1801	SAMN30974273
ASV1804	SAMN30974305
ASV1805	SAMN30974292
ASV181	SAMN30974306
ASV1813	SAMN30974254
ASV1818	SAMN30974306
ASV1819	SAMN30974251
ASV182	SAMN30974307
ASV1823	SAMN30974252
ASV1824	SAMN30974252
ASV1826	SAMN30974252
ASV1827	SAMN30974274
ASV1828	SAMN30974251
ASV1832	SAMN30974255
ASV1833	SAMN30974255
ASV1834	SAMN30974255
ASV184	SAMN30974253
ASV1846	SAMN30974255
ASV1847	SAMN30974307
ASV1849	SAMN30974272
ASV185	SAMN30974291
ASV1850	SAMN30974274
ASV1855	SAMN30974253
ASV1857	SAMN30974255
ASV1858	SAMN30974254
ASV186	SAMN30974270
ASV187	SAMN30974252
ASV1874	SAMN30974273
ASV1876	SAMN30974251
ASV1879	SAMN30974255
ASV188	SAMN30974273
ASV1884	SAMN30974253
ASV189	SAMN30974291
ASV1893	SAMN30974252
ASV1898	SAMN30974306
ASV19	SAMN30974272
ASV190	SAMN30974306
ASV1901	SAMN30974252
ASV1906	SAMN30974254
ASV191	SAMN30974252
ASV1914	SAMN30974292
ASV1916	SAMN30974306
ASV192	SAMN30974254
ASV1924	SAMN30974255
ASV1927	SAMN30974254
ASV1933	SAMN30974253
ASV194	SAMN30974305
ASV1940	SAMN30974292
ASV1946	SAMN30974271
ASV195	SAMN30974252
ASV1956	SAMN30974306
ASV196	SAMN30974272
ASV197	SAMN30974255
ASV1987	SAMN30974255
ASV199	SAMN30974251
ASV1993	SAMN30974307
ASV1999	SAMN30974252
ASV2	SAMN30974253
ASV20	SAMN30974292
ASV200	SAMN30974253
ASV2008	SAMN30974292
ASV2009	SAMN30974255
ASV201	SAMN30974292
ASV2016	SAMN30974251
ASV202	SAMN30974252
ASV2024	SAMN30974254
ASV2028	SAMN30974306
ASV203	SAMN30974307
ASV204	SAMN30974271
ASV205	SAMN30974274
ASV2053	SAMN30974251
ASV2057	SAMN30974253
ASV206	SAMN30974252
ASV2061	SAMN30974307
ASV207	SAMN30974271
ASV2072	SAMN30974252
ASV2074	SAMN30974305
ASV208	SAMN30974251
ASV2087	SAMN30974255
ASV209	SAMN30974253
ASV2096	SAMN30974291
ASV21	SAMN30974270
ASV210	SAMN30974251
ASV211	SAMN30974251
ASV2118	SAMN30974273
ASV212	SAMN30974254
ASV213	SAMN30974306
ASV2140	SAMN30974255
ASV2169	SAMN30974251
ASV2175	SAMN30974307
ASV22	SAMN30974273
ASV2207	SAMN30974305
ASV2218	SAMN30974307
ASV222	SAMN30974273
ASV2232	SAMN30974292
ASV224	SAMN30974255
ASV2256	SAMN30974253
ASV226	SAMN30974252
ASV2272	SAMN30974251
ASV2287	SAMN30974273
ASV23	SAMN30974273
ASV233	SAMN30974251
ASV234	SAMN30974272
ASV235	SAMN30974254
ASV24	SAMN30974253
ASV2429	SAMN30974254
ASV243	SAMN30974255
ASV2454	SAMN30974255
ASV248	SAMN30974255
ASV25	SAMN30974253
ASV2517	SAMN30974254
ASV26	SAMN30974253
ASV261	SAMN30974307
ASV27	SAMN30974255
ASV28	SAMN30974253
ASV29	SAMN30974254
ASV3	SAMN30974253
ASV30	SAMN30974253
ASV31	SAMN30974307
ASV32	SAMN30974252
ASV33	SAMN30974253
ASV34	SAMN30974253
ASV35	SAMN30974252
ASV36	SAMN30974254
ASV37	SAMN30974253
ASV38	SAMN30974254
ASV39	SAMN30974253
ASV4	SAMN30974273
ASV40	SAMN30974252
ASV41	SAMN30974253
ASV42	SAMN30974253
ASV43	SAMN30974255
ASV44	SAMN30974273
ASV46	SAMN30974306
ASV47	SAMN30974273
ASV48	SAMN30974253
ASV49	SAMN30974273
ASV5	SAMN30974307
ASV50	SAMN30974253
ASV51	SAMN30974253
ASV52	SAMN30974254
ASV53	SAMN30974272
ASV54	SAMN30974253
ASV55	SAMN30974253
ASV56	SAMN30974253
ASV57	SAMN30974251
ASV59	SAMN30974273
ASV6	SAMN30974253
ASV60	SAMN30974273
ASV62	SAMN30974255
ASV63	SAMN30974253
ASV64	SAMN30974254
ASV65	SAMN30974255
ASV6537	SAMN30974254
ASV6538	SAMN30974253
ASV6539	SAMN30974305
ASV6540	SAMN30974254
ASV6541	SAMN30974253
ASV6542	SAMN30974253
ASV6543	SAMN30974254
ASV6544	SAMN30974254
ASV6545	SAMN30974255
ASV6546	SAMN30974253
ASV6547	SAMN30974252
ASV6548	SAMN30974306
ASV6549	SAMN30974254
ASV6550	SAMN30974255
ASV6551	SAMN30974254
ASV6552	SAMN30974253
ASV6553	SAMN30974251
ASV6554	SAMN30974254
ASV6555	SAMN30974253
ASV6556	SAMN30974252
ASV6557	SAMN30974255
ASV6558	SAMN30974255
ASV6559	SAMN30974255
ASV6560	SAMN30974254
ASV6561	SAMN30974307
ASV6562	SAMN30974254
ASV6563	SAMN30974254
ASV6565	SAMN30974306
ASV6567	SAMN30974253
ASV6569	SAMN30974255
ASV6570	SAMN30974253
ASV6571	SAMN30974252
ASV6572	SAMN30974253
ASV6573	SAMN30974255
ASV6574	SAMN30974307
ASV6575	SAMN30974255
ASV6576	SAMN30974254
ASV6577	SAMN30974255
ASV6578	SAMN30974306
ASV6579	SAMN30974307
ASV6580	SAMN30974255
ASV6581	SAMN30974307
ASV6582	SAMN30974253
ASV6583	SAMN30974252
ASV6584	SAMN30974272
ASV6585	SAMN30974253
ASV6587	SAMN30974307
ASV6588	SAMN30974253
ASV6589	SAMN30974307
ASV6590	SAMN30974255
ASV6591	SAMN30974253
ASV6592	SAMN30974251
ASV6593	SAMN30974255
ASV6594	SAMN30974305
ASV6595	SAMN30974255
ASV6597	SAMN30974306
ASV6599	SAMN30974252
ASV66	SAMN30974253
ASV6600	SAMN30974253
ASV6601	SAMN30974255
ASV6602	SAMN30974255
ASV6603	SAMN30974253
ASV6604	SAMN30974255
ASV6605	SAMN30974252
ASV6606	SAMN30974253
ASV6607	SAMN30974251
ASV6608	SAMN30974253
ASV6609	SAMN30974307
ASV6610	SAMN30974255
ASV6611	SAMN30974255
ASV6612	SAMN30974306
ASV6613	SAMN30974253
ASV6614	SAMN30974251
ASV6615	SAMN30974253
ASV6617	SAMN30974255
ASV6618	SAMN30974252
ASV6619	SAMN30974254
ASV6620	SAMN30974255
ASV6621	SAMN30974255
ASV6622	SAMN30974253
ASV6623	SAMN30974251
ASV6624	SAMN30974292
ASV6625	SAMN30974252
ASV6626	SAMN30974254
ASV6627	SAMN30974255
ASV6629	SAMN30974306
ASV6630	SAMN30974306
ASV6631	SAMN30974254
ASV6632	SAMN30974251
ASV6633	SAMN30974307
ASV6634	SAMN30974253
ASV6635	SAMN30974306
ASV6638	SAMN30974253
ASV6639	SAMN30974252
ASV6641	SAMN30974255
ASV6642	SAMN30974270
ASV6643	SAMN30974253
ASV6644	SAMN30974254
ASV6646	SAMN30974253
ASV6647	SAMN30974305
ASV6648	SAMN30974253
ASV6649	SAMN30974253
ASV6651	SAMN30974305
ASV6652	SAMN30974255
ASV6654	SAMN30974255
ASV6655	SAMN30974255
ASV6656	SAMN30974255
ASV6658	SAMN30974253
ASV6659	SAMN30974307
ASV6660	SAMN30974291
ASV6661	SAMN30974253
ASV6662	SAMN30974251
ASV6663	SAMN30974251
ASV6664	SAMN30974255
ASV6665	SAMN30974305
ASV6666	SAMN30974251
ASV6668	SAMN30974255
ASV6669	SAMN30974253
ASV6670	SAMN30974255
ASV6671	SAMN30974270
ASV6672	SAMN30974254
ASV6673	SAMN30974255
ASV6674	SAMN30974305
ASV6675	SAMN30974292
ASV6676	SAMN30974253
ASV6677	SAMN30974306
ASV6678	SAMN30974254
ASV6679	SAMN30974253
ASV6680	SAMN30974251
ASV6681	SAMN30974254
ASV6684	SAMN30974255
ASV6686	SAMN30974255
ASV6687	SAMN30974255
ASV6688	SAMN30974255
ASV6690	SAMN30974252
ASV6691	SAMN30974253
ASV6692	SAMN30974251
ASV6697	SAMN30974254
ASV6698	SAMN30974307
ASV6699	SAMN30974307
ASV67	SAMN30974273
ASV6700	SAMN30974251
ASV6701	SAMN30974251
ASV6702	SAMN30974307
ASV6703	SAMN30974306
ASV6704	SAMN30974272
ASV6705	SAMN30974292
ASV6706	SAMN30974307
ASV6707	SAMN30974253
ASV6708	SAMN30974251
ASV6710	SAMN30974255
ASV6711	SAMN30974306
ASV6712	SAMN30974307
ASV6713	SAMN30974255
ASV6714	SAMN30974290
ASV6716	SAMN30974251
ASV6717	SAMN30974253
ASV6719	SAMN30974253
ASV6720	SAMN30974253
ASV6722	SAMN30974307
ASV6723	SAMN30974251
ASV6724	SAMN30974252
ASV6725	SAMN30974272
ASV6727	SAMN30974253
ASV6728	SAMN30974306
ASV6730	SAMN30974255
ASV6731	SAMN30974307
ASV6732	SAMN30974305
ASV6733	SAMN30974255
ASV6734	SAMN30974252
ASV6736	SAMN30974305
ASV6737	SAMN30974253
ASV6738	SAMN30974254
ASV6739	SAMN30974305
ASV6740	SAMN30974255
ASV6741	SAMN30974305
ASV6742	SAMN30974251
ASV6743	SAMN30974272
ASV6744	SAMN30974273
ASV6745	SAMN30974255
ASV6748	SAMN30974253
ASV6750	SAMN30974251
ASV6751	SAMN30974255
ASV6752	SAMN30974292
ASV6753	SAMN30974255
ASV6754	SAMN30974255
ASV6755	SAMN30974252
ASV6756	SAMN30974307
ASV6757	SAMN30974305
ASV6759	SAMN30974255
ASV6760	SAMN30974307
ASV6761	SAMN30974291
ASV6762	SAMN30974306
ASV6766	SAMN30974253
ASV6769	SAMN30974305
ASV6772	SAMN30974255
ASV6773	SAMN30974255
ASV6774	SAMN30974307
ASV6776	SAMN30974273
ASV6786	SAMN30974255
ASV6787	SAMN30974305
ASV6790	SAMN30974252
ASV6795	SAMN30974252
ASV6797	SAMN30974307
ASV6799	SAMN30974307
ASV68	SAMN30974253
ASV6801	SAMN30974292
ASV6803	SAMN30974273
ASV6804	SAMN30974255
ASV6807	SAMN30974306
ASV6809	SAMN30974272
ASV6819	SAMN30974292
ASV6820	SAMN30974252
ASV6822	SAMN30974306
ASV69	SAMN30974253
ASV7	SAMN30974253
ASV70	SAMN30974255
ASV71	SAMN30974273
ASV7247	SAMN30974252
ASV7248	SAMN30974251
ASV7249	SAMN30974254
ASV7250	SAMN30974254
ASV7251	SAMN30974251
ASV7252	SAMN30974254
ASV7253	SAMN30974253
ASV7254	SAMN30974254
ASV7255	SAMN30974307
ASV7256	SAMN30974254
ASV7257	SAMN30974254
ASV7258	SAMN30974255
ASV7259	SAMN30974255
ASV7260	SAMN30974253
ASV7261	SAMN30974253
ASV7262	SAMN30974306
ASV7263	SAMN30974253
ASV7264	SAMN30974306
ASV7265	SAMN30974253
ASV7266	SAMN30974253
ASV7267	SAMN30974307
ASV7268	SAMN30974307
ASV7269	SAMN30974252
